"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Ponderosa Pine Woodland","Arizona/New Mexico Mountains",108826,0,9.68,18.8,1.0043,NA,85.6,16.36,53.2,193,70.1,NA,NA,15.6,44.5,NA,28,-6.94,NA,17.81,12.27,108826,0,2.67,2.82,2.76,NA,-41.6,8.94,-30,-55.6,26,NA,NA,0.607,2.34,NA,2.61,2.98,NA,6.11,5.96,108826,0,2.57,2.52,2.55,NA,-88,3.02,-48.1,-97.3,10.97,NA,NA,0.509,1.98,NA,2.14,2.22,NA,-8.6,3.23,108826,0,2.82,3.14,3.04,NA,-19,23.69,-19.3,-32.7,57.6,NA,NA,0.696,3.18,NA,3.33,4.25,NA,13.23,10.32,108826,0,3.01,2.8,2.4,NA,-1.2,1.97,-1.63,-1.14,1.29,NA,NA,1.02,1.08,NA,1.76,2.46,NA,1.392,1.36,100,7.56,11.87,0,100,100,0,78.78,44.5,100,100,0,36.5,92.9,95.3,4.44,15.25,0,0
"2","Southern Rocky Mountain Ponderosa Pine Woodland","Arizona/New Mexico Plateau",150072,0,9.73,19.8,0.1476,NA,55.8,15.05,43.4,146,57.3,NA,NA,16.6,42.3,NA,29.4,-7.71,38.2,18.25,12.9,150072,0,2.68,2.84,2.81,NA,-30,8.69,-34.6,-38,20.5,NA,NA,0.594,2.17,NA,2.85,3.4,-1.69,7.43,7.17,150072,0,2.62,2.55,2.53,NA,-60.6,2.69,-45.9,-50.8,11.75,NA,NA,0.47,1.95,NA,2.36,2.23,-1.76,2.95,4.06,150072,0,2.74,3.05,3.01,NA,-20.3,23.23,-20.8,-28.1,46.87,NA,NA,0.673,2.78,NA,3.26,4.67,-1.63,13.3,9.68,150072,0,3.05,2.71,2.41,NA,-1.24,2.26,-2,-1.12,1.35,NA,NA,1.17,1.09,NA,1.97,2.65,-1.1,1.224,1.33,100,23,17.54,0,100,100,0.975,76.02,29.82,100,100,0,49.9,96.1,94.5,4.29,39.96,0,0
"3","Southern Rocky Mountain Ponderosa Pine Woodland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Southern Rocky Mountain Ponderosa Pine Woodland","Central Basin and Range",309946,0,10.35,20.8,0.8234,NA,61.6,18.4,33.5,127,92.5,NA,NA,NA,37.5,NA,29.8,-5.38,35.7,NA,9.44,309946,0,2.86,2.79,3.25,NA,-43.9,6.91,-41.8,-53,27.1,NA,NA,NA,2.37,NA,2.72,4.45,-2.28,NA,9.44,309946,0,2.79,2.71,2.97,NA,-53.6,5,-46.2,-59.5,17.83,NA,NA,NA,1.89,NA,2.65,3.94,-2.51,NA,9.2,309946,0,3.01,2.86,3.71,NA,-34.1,12.31,-36.1,-46.6,41.35,NA,NA,NA,3.26,NA,2.83,5.34,-1.85,NA,9.67,309946,0,3.48,2.45,2.72,NA,-1.23,1.8,-2.68,-1.04,1.47,NA,NA,NA,1.18,NA,1.83,3.04,-1.17,NA,1.21,100,0,96.67,0,100,100,25,0,3.33,100,100,0,55,100,100,3.33,21.67,0,0
"5","Southern Rocky Mountain Ponderosa Pine Woodland","Central Great Plains",274963,0,9.59,22.3,-2.8947,NA,NA,13.59,61.4,NA,NA,NA,NA,NA,NA,NA,31.6,-11.31,NA,NA,NA,274963,0,2.7,3.54,2.48,NA,NA,9.14,-28.6,NA,NA,NA,NA,NA,NA,NA,3.28,4.43,NA,NA,NA,274963,0,2.7,3.53,2.47,NA,NA,8.83,-29.5,NA,NA,NA,NA,NA,NA,NA,3.25,4.32,NA,NA,NA,274963,0,2.71,3.54,2.49,NA,NA,9.35,-27.7,NA,NA,NA,NA,NA,NA,NA,3.31,4.54,NA,NA,NA,274963,0,2.39,2.46,1.24,NA,NA,2.03,-1.45,NA,NA,NA,NA,NA,NA,NA,1.7,1.81,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,0,0,0
"6","Southern Rocky Mountain Ponderosa Pine Woodland","Chihuahuan Desert",509458,0,13.67,22.9,4.7895,NA,80.1,9.47,69.1,NA,45.3,NA,NA,17.4,41,NA,31.5,-3.42,NA,21.88,13.5,509458,0,2.72,2.87,2.79,NA,-38.5,5.94,-28.3,NA,17.2,NA,NA,0.672,2.34,NA,2.27,2.57,NA,3.57,4.17,509458,0,2.69,2.79,2.74,NA,-50.2,3.91,-37.1,NA,13.48,NA,NA,0.672,2.3,NA,2.15,2.44,NA,3.04,4.12,509458,0,2.74,2.98,2.85,NA,-26.3,12.4,-24.6,NA,20.83,NA,NA,0.672,2.41,NA,2.85,2.78,NA,4.12,4.23,509458,0,3.12,2.82,2.62,NA,-1.06,1.88,-1.23,NA,1.21,NA,NA,1.01,1.02,NA,1.37,2.41,NA,1.356,1.07,100,2.27,6.82,0,100,100,0,68.18,6.82,100,100,0,11.4,100,95.5,0,4.55,0,0
"7","Southern Rocky Mountain Ponderosa Pine Woodland","Colorado Plateaus",134931,0,7.82,18.7,-2.5723,NA,49.4,20.1,25.7,135,78.5,NA,NA,NA,37.6,NA,28.4,-9.7,38.1,17.43,6.22,134931,0,3.01,3.06,3.25,NA,-36,9.97,-40,-47,27.5,NA,NA,NA,2.18,NA,3,4.87,-1.97,6.73,13.13,134931,0,2.73,2.71,2.7,NA,-60.1,3.22,-51.4,-69.7,9.31,NA,NA,NA,1.56,NA,2.55,3.47,-2.7,-9.28,7.03,134931,0,3.38,3.37,3.72,NA,-17.9,21.38,-26.4,-25.9,55.24,NA,NA,NA,2.99,NA,3.26,5.78,-1.39,13.11,21.25,134931,0,3.53,2.59,3.27,NA,-1.25,2.2,-2.92,-1.13,1.69,NA,NA,NA,1.18,NA,1.96,3.64,-1.17,0.972,1.5,100,0,86.02,0,100,100,79.112,28.62,41.53,100,100,0,68.2,95.2,100,19.9,73.19,0,0
"8","Southern Rocky Mountain Ponderosa Pine Woodland","Edwards Plateau",74964,0,17.69,27.3,7.6051,NA,NA,18.06,43.1,NA,63.4,NA,NA,NA,NA,NA,34.8,-1.31,NA,NA,NA,74964,0,2.65,2.88,2.67,NA,NA,9.46,-42.7,NA,22,NA,NA,NA,NA,NA,2.73,2.98,NA,NA,NA,74964,0,2.6,2.78,2.65,NA,NA,8.8,-47.3,NA,20.28,NA,NA,NA,NA,NA,2.58,2.94,NA,NA,NA,74964,0,2.67,2.94,2.68,NA,NA,11.44,-39.2,NA,24.94,NA,NA,NA,NA,NA,2.82,3.01,NA,NA,NA,74964,0,2.35,2.41,1.57,NA,NA,2.78,-2.83,NA,1.16,NA,NA,NA,NA,NA,1.71,1.74,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,42.86,0,0
"9","Southern Rocky Mountain Ponderosa Pine Woodland","High Plains",288315,0,9.29,20.8,-1.3304,NA,NA,11.18,55.1,NA,39.8,NA,NA,NA,NA,NA,31,-9.35,NA,17.9,NA,288315,0,2.67,3.03,2.81,NA,NA,8.19,-28.6,NA,15.1,NA,NA,NA,NA,NA,2.76,4.27,NA,4.82,NA,288315,0,2.59,2.9,2.6,NA,NA,5.41,-34.5,NA,12.14,NA,NA,NA,NA,NA,2.56,3.97,NA,-4.94,NA,288315,0,2.86,3.17,3.08,NA,NA,12.85,-23.3,NA,20.37,NA,NA,NA,NA,NA,3.14,4.76,NA,6.51,NA,288315,0,2.39,2.42,1.66,NA,NA,2.22,-1.83,NA,1.1,NA,NA,NA,NA,NA,1.93,1.99,NA,1.167,NA,100,0,0,0,100,100,0,74.58,0,100,100,0,0,100,100,0,30.51,0,0
"10","Southern Rocky Mountain Ponderosa Pine Woodland","Madrean Archipelago",74690,0,12.66,20.9,4.6553,NA,NA,12.52,62.5,NA,NA,NA,NA,NA,43.6,NA,29,-2.66,NA,20.58,15.12,74690,0,2.63,2.62,2.74,NA,NA,6.8,-25.9,NA,NA,NA,NA,NA,2.63,NA,2.18,2.79,NA,6.97,4.46,74690,0,2.51,2.41,2.64,NA,NA,3.77,-31.7,NA,NA,NA,NA,NA,2.26,NA,2.01,2.58,NA,2.7,2.97,74690,0,2.71,2.75,2.83,NA,NA,13.4,-18.4,NA,NA,NA,NA,NA,3.2,NA,2.34,3.11,NA,10.62,6.92,74690,0,3.21,3.15,2.53,NA,NA,1.74,-1.43,NA,NA,NA,NA,NA,1.11,NA,1.55,2.59,NA,1.246,1.28,100,0,19.51,0,100,100,0,54.88,45.12,100,100,0,0,100,98.8,0,0,0,0
"11","Southern Rocky Mountain Ponderosa Pine Woodland","Middle Rockies",164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Southern Rocky Mountain Ponderosa Pine Woodland","Mojave Basin and Range",129599,0,10.24,19.8,1.7534,NA,61,8.5,44.6,NA,34.4,NA,NA,NA,NA,NA,28.8,-4.75,NA,17.77,22.77,129599,0,2.65,2.68,2.64,NA,-54.1,4.93,-46.1,NA,11.3,NA,NA,NA,NA,NA,2.52,3.48,NA,8.85,4.43,129599,0,2.46,2.38,2.4,NA,-85.5,1.36,-56.6,NA,2.99,NA,NA,NA,NA,NA,2.01,2.75,NA,2.7,3.72,129599,0,2.78,2.78,2.93,NA,-29.5,8.58,-22.9,NA,18.32,NA,NA,NA,NA,NA,2.68,3.8,NA,15.8,5.14,129599,0,3.55,2.58,2.51,NA,-1.13,2.81,-2.07,NA,1.48,NA,NA,NA,NA,NA,1.8,2.99,NA,1.37,1.09,100,0,0,0,100,100,0,14.71,2.94,100,100,0,57.4,100,92.6,0,25,0,0
"13","Southern Rocky Mountain Ponderosa Pine Woodland","Nebraska Sand Hills",59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
