"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Big Sagebrush Steppe","Arizona/New Mexico Mountains",108826,0,9.17,19.3,-0.468,NA,46.8,11.06,40.7,NA,NA,NA,NA,NA,NA,NA,28.6,-8.45,NA,18.6689,12.879,108826,0,2.69,2.94,2.91,NA,-27,4.59,-36.2,NA,NA,NA,NA,NA,NA,NA,2.99,3.56,NA,8.554,6.14,108826,0,2.67,2.91,2.89,NA,-32.7,3.92,-39.4,NA,NA,NA,NA,NA,NA,NA,2.93,3.32,NA,6.8,5.26,108826,0,2.7,2.96,2.94,NA,-23.6,5.46,-32.7,NA,NA,NA,NA,NA,NA,NA,3.02,3.82,NA,10.02,6.81,108826,0,2.86,2.79,2.19,NA,-1.12,1.22,-2.05,NA,NA,NA,NA,NA,NA,NA,2.14,2.46,NA,1.145,1.09,100,0,0,0,100,100,0,100,28.261,100,100,0,41.304,76.09,100,0,0,0,0
"2","Inter Mountain Basins Big Sagebrush Steppe","Arizona/New Mexico Plateau",150072,0,9.8,20.1,-0.138,NA,45.4,9.99,39.5,NA,37.5,NA,NA,NA,NA,NA,29.6,-7.77,NA,19.431,13.096,150072,0,2.69,2.88,2.87,NA,-28,4.65,-37.7,NA,14.01,NA,NA,NA,NA,NA,2.89,3.45,NA,8.802,6.54,150072,0,2.67,2.75,2.79,NA,-38.3,3.88,-47.1,NA,13.68,NA,NA,NA,NA,NA,2.64,3.32,NA,6.88,6.24,150072,0,2.73,2.93,2.95,NA,-23.8,7.53,-32.9,NA,14.3,NA,NA,NA,NA,NA,2.97,3.65,NA,10.84,6.76,150072,0,2.95,2.73,2.3,NA,-1.15,1.56,-2.21,NA,1.04,NA,NA,NA,NA,NA,2.03,2.54,NA,1.163,1.14,100,0,0,0,100,100,0,93.75,18.75,100,100,0,37.5,75,100,0,12.5,0,0
"3","Inter Mountain Basins Big Sagebrush Steppe","Aspen Parkland/Northern Glaciated Plains",327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Inter Mountain Basins Big Sagebrush Steppe","Blue Mountains",70911,0,8.43,18.2,-0.624,NA,50.8,14.15,37.5,NA,62.4,NA,161,11.97,39,NA,29.6,-6.17,NA,11.6781,17.673,70911,0,2.53,2.69,2.79,NA,-22.4,8.04,-24.2,NA,17.17,NA,49.3,0.423,2.75,NA,2.75,4.43,NA,4.226,5.05,70911,0,2.16,2.28,2.25,NA,-40.3,2.75,-35.7,NA,14.12,NA,49.3,0.374,2.12,NA,2.28,3.84,NA,-6.89,2.74,70911,0,2.85,2.95,3.36,NA,-12.2,14.22,-14.5,NA,18.7,NA,49.3,0.535,3.55,NA,3.18,4.92,NA,5.7,10.59,70911,0,3.72,2.45,2.46,NA,-1.15,1.74,-1.46,NA,1.04,NA,1.02,1.07,1.12,NA,1.63,2.57,NA,1.052,1.19,100,15.6,88.06,0,100,100,0,2.11,82.862,100,100,0,30.623,70.66,85.7,0,0.257,0,0.0515
"5","Inter Mountain Basins Big Sagebrush Steppe","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Inter Mountain Basins Big Sagebrush Steppe","Canadian Rockies",104960,0,5.3,15.4,-4.305,NA,61.3,29.72,32.9,106.9,96.7,NA,NA,NA,37.2,NA,25.4,-10.6,NA,13.5099,0.116,104960,0,2.75,3.12,2.66,NA,-27.8,13.61,-26,-28.7,33.49,NA,NA,NA,2.94,NA,2.96,5.47,NA,5.476,10.98,104960,0,2.68,2.97,2.46,NA,-35.1,5.78,-29.6,-28.7,25.76,NA,NA,NA,2.94,NA,2.85,4.71,NA,-6.96,8.2,104960,0,2.79,3.25,2.8,NA,-17.1,18.03,-20.8,-28.7,39.2,NA,NA,NA,2.94,NA,3.1,5.77,NA,9.14,14.93,104960,0,3.75,2.95,2.12,NA,-1.12,2.58,-1.61,-1.03,1.94,NA,NA,NA,1.02,NA,1.69,2.17,NA,0.965,1.51,100,0,3.03,0,100,100,0,30.303,75.758,100,100,0,15.152,90.91,100,3.0303,69.697,0,0
"7","Inter Mountain Basins Big Sagebrush Steppe","Cascades",46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,43.8,66.94,0,100,100,0,7.201,96.552,100,100,0,9.635,50.51,46.1,0,0,0,0
"8","Inter Mountain Basins Big Sagebrush Steppe","Central Basin and Range",309946,0,7.88,19.1,-2.77,NA,54.6,13.86,35.2,150,46.2,NA,NA,NA,38.1,NA,30.4,-9.44,41.2,8.3706,19.123,309946,0,3.1,2.98,3.73,NA,-32.8,11.64,-38.1,-45.9,19.3,NA,NA,NA,2.77,NA,3.07,5.55,-2.76,1.303,9.7,309946,0,2.71,2.59,3.08,NA,-54.6,5.89,-46.6,-53,15.79,NA,NA,NA,2.04,NA,2.61,4.43,-3.21,-6.41,3.96,309946,0,3.42,3.31,4.13,NA,-13.7,19.08,-24.3,-40.7,29.6,NA,NA,NA,3.52,NA,3.33,6.14,-2.54,5.79,15.17,309946,0,3.91,2.17,2.8,NA,-1.39,3.31,-2.42,-1.07,1.16,NA,NA,NA,1.17,NA,1.62,2.97,-1.03,0.353,1.1,100,0,62.44,0,100,100,19.017,2.219,42.631,100,100,0,71.157,100,100,6.4976,31.062,0,0
"9","Inter Mountain Basins Big Sagebrush Steppe","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Inter Mountain Basins Big Sagebrush Steppe","Central Great Plains",274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Inter Mountain Basins Big Sagebrush Steppe","Coast Range",54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Inter Mountain Basins Big Sagebrush Steppe","Colorado Plateaus",134931,0,7.58,19,-3.709,NA,40.5,21.08,19.8,100.1,74.4,NA,NA,NA,36.3,NA,29,-11.13,40.2,15.1864,0.745,134931,0,3.19,3.18,3.26,NA,-28.5,13.23,-41.2,-41.4,27.97,NA,NA,NA,2.2,NA,3.1,5.18,-2.12,0.704,16.7,134931,0,2.73,2.75,2.72,NA,-40,6.84,-51,-54.5,12.58,NA,NA,NA,1.66,NA,2.63,3.44,-2.61,-9.06,9.25,134931,0,3.39,3.37,3.65,NA,-17.7,18.73,-28.5,-28.6,36.9,NA,NA,NA,2.55,NA,3.26,5.69,-1.51,12.61,20.9,134931,0,3.89,2.55,3.72,NA,-1.37,3.48,-3.54,-1.14,1.95,NA,NA,NA,1.24,NA,1.9,4,-1.19,0.134,1.78,100,0,63.39,0,100,100,95.536,18.75,78.571,100,100,0,96.429,100,100,53.5714,98.214,0,0
"13","Inter Mountain Basins Big Sagebrush Steppe","Columbia Mountains/Northern Rockies",179304,0,7.93,18.3,-2.15,NA,56.7,22.2,35.7,150.8,73.6,NA,NA,12.25,34.6,NA,28.5,-7.05,NA,13.4902,16.09,179304,0,2.59,2.88,2.69,NA,-28,7.52,-23.5,-43.1,19.83,NA,NA,0.463,2.66,NA,2.89,4.61,NA,3.903,7.07,179304,0,2.51,2.66,2.47,NA,-36,4.61,-34,-47.9,11.8,NA,NA,0.411,2.28,NA,2.63,4.23,NA,-8.62,4.88,179304,0,2.73,3.1,2.82,NA,-18.1,13.77,-14,-36.7,26.3,NA,NA,0.527,3.2,NA,3.21,5.18,NA,10.57,15.3,179304,0,3.69,2.78,2.53,NA,-1.15,1.63,-1.42,-1.08,1.51,NA,NA,1.08,1.09,NA,1.7,2.37,NA,0.54,1.15,100,63,73.49,0,100,100,0,5.33,69.846,100,100,0,33.38,28.75,97.6,0.4208,19.495,0,0
