"","ecoregion","NS.Map.Value.code","system_name","SqKM_system_ecoregion","type","ELEMENT_GLOBAL_ID","ELCODE","ELSF_CD","BPS_area_system_sq_KM","percent_of_Total_Distribution","Level3"
"27","Arizona/New Mexico Plateau",7051,"Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",86.5485,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.0056,"10.1.7"
"28","Arkansas Valley",7423,"Southeastern_Great_Plains_Tallgrass_Prairie",1703.0574,"Southeastern Great Plains Tallgrass Prairie",722974,"CES205.685",7136,108029.6757,0.0158,"8.4.7"
"29","Arkansas Valley",7364,"Ozark_Ouachita_Dry_Oak_Woodland",2238.3216,"Ozark Ouachita Dry Oak Woodland",722953,"CES202.707",4306,58336.0137,0.0384,"8.4.7"
"30","Aspen Parkland/Northern Glaciated Plains",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",0.6156,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0,"9.2.1"
"31","Aspen Parkland/Northern Glaciated Plains",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",114.291,"North Central Interior Dry Mesic Oak Forest and Woodland",722663,"CES202.046",4116,141605.9334,8e-04,"9.2.1"
"32","Aspen Parkland/Northern Glaciated Plains",7141,"Northwestern_Great_Plains_Mixedgrass_Prairie",73240.6698,"Northwestern Great Plains Mixedgrass Prairie",722984,"CES303.674",7114,425532.0987,0.1721,"9.2.1"
"33","Blue Mountains",7017,"Columbia_Plateau_Western_Juniper_Woodland_and_Savanna",2995.9713,"Columbia Plateau Western Juniper Woodland and Savanna",740155,"CES304.082",4204,7901.0883,0.3792,"6.2.9"
"34","Blue Mountains",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",5362.7751,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.019,"6.2.9"
"35","Blue Mountains",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",8634.0006,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,0.0476,"6.2.9"
"36","Blue Mountains",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",2.1384,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,1e-04,"6.2.9"
"37","Blue Mountains",7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",131.8923,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,0.0021,"6.2.9"
"38","Blue Mountains",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",4564.3257,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0.0534,"6.2.9"
"39","Blue Mountains",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",1.3122,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0,"6.2.9"
"40","Boston Mountains",7423,"Southeastern_Great_Plains_Tallgrass_Prairie",13.8753,"Southeastern Great Plains Tallgrass Prairie",722974,"CES205.685",7136,108029.6757,1e-04,"8.4.6"
"41","Boston Mountains",7364,"Ozark_Ouachita_Dry_Oak_Woodland",3725.6355,"Ozark Ouachita Dry Oak Woodland",722953,"CES202.707",4306,58336.0137,0.0639,"8.4.6"
"42","California Coastal Sage, Chaparral, and Oak Woodlands",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",19.5372,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,2e-04,"11.1.1"
"43","California Coastal Sage, Chaparral, and Oak Woodlands",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",3.6936,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0,"11.1.1"
"44","California Coastal Sage, Chaparral, and Oak Woodlands",7019,"Great_Basin_Pinyon_Juniper_Woodland",5.6376,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,2e-04,"11.1.1"
"45","Canadian Rockies",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",16.2162,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,2e-04,"6.2.4"
"46","Canadian Rockies",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",0.3402,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0,"6.2.4"
"47","Canadian Rockies",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",14.742,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,1e-04,"6.2.4"
"48","Canadian Rockies",7141,"Northwestern_Great_Plains_Mixedgrass_Prairie",1.215,"Northwestern Great Plains Mixedgrass Prairie",722984,"CES303.674",7114,425532.0987,0,"6.2.4"
"49","Cascades",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",0.0081,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,0,"6.2.7"
"50","Cascades",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",13.7457,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0,"6.2.7"
"51","Cascades",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",0.5994,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0,"6.2.7"
"52","Cascades",7017,"Columbia_Plateau_Western_Juniper_Woodland_and_Savanna",27.7506,"Columbia Plateau Western Juniper Woodland and Savanna",740155,"CES304.082",4204,7901.0883,0.0035,"6.2.7"
"53","Cascades",7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",0.6966,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,0,"6.2.7"
"54","Central Basin and Range",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",1949.3379,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,0.0108,"10.1.5"
"55","Central Basin and Range",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",70524.6912,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.2496,"10.1.5"
"56","Central Basin and Range",7019,"Great_Basin_Pinyon_Juniper_Woodland",17807.2425,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.7829,"10.1.5"
"57","Central Basin and Range",7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",2083.5306,"Rocky Mountain Gambel Oak Mixed Montane Shrubland",722855,"CES306.818",5313,19905.7419,0.1047,"10.1.5"
"58","Central Basin and Range",7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",2.1141,"Southern Rocky Mountain Montane Subalpine Grassland",722849,"CES306.824",7119,3086.9586,7e-04,"10.1.5"
"59","Central Basin and Range",7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",51044.175,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,0.8163,"10.1.5"
"60","Central Basin and Range",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",64.6704,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.0017,"10.1.5"
"61","Central Basin and Range",7052,"Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",600.3234,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",722848,"CES306.825",4239,8992.6605,0.0668,"10.1.5"
"62","Central Basin and Range",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",57601.5057,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0.5946,"10.1.5"
"63","Central Basin and Range",7017,"Columbia_Plateau_Western_Juniper_Woodland_and_Savanna",1.3041,"Columbia Plateau Western Juniper Woodland and Savanna",740155,"CES304.082",4204,7901.0883,2e-04,"10.1.5"
"64","Central Basin and Range",7051,"Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",33.939,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.0022,"10.1.5"
"65","Central Basin and Range",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",530.4123,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,0.019,"10.1.5"
"66","Central Basin and Range",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",12746.2572,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0.1492,"10.1.5"
